../../../../../../Users/crist/Documents/Unreal Projects/Self Driving Car/Saved/ScreenShots/CameraView_10.jpeg,-0.05,1.0,0.0,0.0,
../../../../../../Users/crist/Documents/Unreal Projects/Self Driving Car/Saved/ScreenShots/CameraView_11.jpeg,-0.05,1.0,0.0,0.0,
../../../../../../Users/crist/Documents/Unreal Projects/Self Driving Car/Saved/ScreenShots/CameraView_12.jpeg,-0.05,1.0,0.0,0.0,
../../../../../../Users/crist/Documents/Unreal Projects/Self Driving Car/Saved/ScreenShots/CameraView_13.jpeg,-0.05,1.0,0.0,0.0,
../../../../../../Users/crist/Documents/Unreal Projects/Self Driving Car/Saved/ScreenShots/CameraView_14.jpeg,-0.05,1.0,0.0,0.0,
../../../../../../Users/crist/Documents/Unreal Projects/Self Driving Car/Saved/ScreenShots/CameraView_15.jpeg,-0.05,1.0,0.0,0.0,
../../../../../../Users/crist/Documents/Unreal Projects/Self Driving Car/Saved/ScreenShots/CameraView_16.jpeg,-0.05,1.0,0.0,0.0,
../../../../../../Users/crist/Documents/Unreal Projects/Self Driving Car/Saved/ScreenShots/CameraView_17.jpeg,-0.05,1.0,0.0,0.939399,
../../../../../../Users/crist/Documents/Unreal Projects/Self Driving Car/Saved/ScreenShots/CameraView_18.jpeg,-0.05,1.0,0.0,2.905567,
../../../../../../Users/crist/Documents/Unreal Projects/Self Driving Car/Saved/ScreenShots/CameraView_19.jpeg,-0.05,1.0,0.0,4.675502,
../../../../../../Users/crist/Documents/Unreal Projects/Self Driving Car/Saved/ScreenShots/CameraView_110.jpeg,-0.05,1.0,0.0,6.098985,
../../../../../../Users/crist/Documents/Unreal Projects/Self Driving Car/Saved/ScreenShots/CameraView_111.jpeg,-0.05,1.0,0.0,8.677366,
../../../../../../Users/crist/Documents/Unreal Projects/Self Driving Car/Saved/ScreenShots/CameraView_112.jpeg,-0.05,1.0,0.0,10.522656,
